postal_code,name,canton
1000,Lausanne,VD
1008,Prilly,VD
1009,Pully,VD
1020,Renens VD,VD
1022,Chavannes-Renens,VD
1023,Crissier,VD
1024,Ecublens VD,VD
1025,St-Sulpice VD,VD
1026,Echandens-Denges,VD
1027,Lonay,VD
1028,Préverenges,VD
1030,Bussigny-Lausanne,VD
1032,Romanel-s-Lausanne,VD
1033,Cheseaux-Lausanne,VD
1037,Etagnières,VD
1038,Bercher,VD
1040,Echallens,VD
1377,Oulens-Echallens,VD
1042,Bettens,VD
1417,Epautheyres,VD
1041,Dommartin,VD
1063,Peyres-Possens,VD
1053,Bretigny-Morrens,VD
1034,Boussens,VD
1035,Bournens,VD
1036,Sullens,VD
1044,Fey,VD
1045,Ogens,VD
1407,Bioley-Magnoux,VD
1052,Mont-sur-Lausanne,VD
1054,Morrens VD,VD
1055,Froideville,VD
1066,Epalinges,VD
1073,Savigny,VD
1083,Mézières VD,VD
1092,Belmont-Lausanne,VD
1093,La Conversion,VD
1094,Paudex,VD
1096,Cully,VD
1058,Villars-Tiercelin,VD
1080,Les Cullayes,VD
1081,Montpreveyres,VD
1082,Corcelles-le-Jorat,VD
1088,Ropraz,VD
1084,Carrouge VD,VD
1085,Vulliens,VD
1509,Vucherens,VD
1510,Syens,VD
1076,Ferlens VD,VD
1078,Essertes,VD
1673,Auboranges,FR
1110,Morges,VD
1112,Echichens,VD
1167,Lussy-sur-Morges,VD
1132,Lully VD,VD
1131,Tolochenaz,VD
1126,Vaux-sur-Morges,VD
1127,Clarmont,VD
1128,Reverolle,VD
1115,Vullierens,VD
1116,Cottens VD,VD
1117,Grancy,VD
1304,Senarclens,VD
1121,Bremblens,VD
1122,Romanel-sur-Morges,VD
1123,Aclens,VD
1124,Gollion,VD
1134,Vufflens-Château,VD
1135,Denens,VD
1136,Bussy-Chardonney,VD
1169,Yens,VD
1168,Villars-sous-Yens,VD
1144,Ballens,VD
1149,Berolle,VD
1146,Mollens VD,VD
1147,Montricher,VD
1142,Pampigny,VD
1141,Sévery,VD
1143,Apples,VD
1145,Bière,VD
1148,L'Isle,VD
1162,St-Prex,VD
1163,Etoy,VD
1164,Buchillon,VD
1165,Allaman,VD
1166,Perroy,VD
1170,Aubonne,VD
1172,Bougy-Villars,VD
1173,Féchy,VD
1174,Montherod,VD
1175,Lavigny,VD
1176,St-Livres,VD
1180,Rolle,VD
1182,Gilly,VD
1183,Bursins,VD
1184,Vinzel,VD
1185,Mont-sur-Rolle,VD
1186,Essertines-Rolle,VD
1187,St-Oyens,VD
1189,Saubraz,VD
1188,Gimel,VD
1195,Dully-Bursinel,VD
1196,Gland,VD
1197,Prangins,VD
1200,Genève,GE
1212,Grand-Lancy,GE
1214,Vernier,GE
1216,Cointrin,GE
1218,Le Grand-Saconnex,GE
1222,Vésenaz,GE
1223,Cologny,GE
1224,Chêne-Bougeries,GE
1225,Chêne-Bourg,GE
1226,Thônex,GE
1227,Carouge GE,GE
1228,Plan-les-Ouates,GE
1232,Confignon,GE
1233,Bernex,GE
1234,Vessy,GE
1236,Cartigny,GE
1237,Avully,GE
1239,Collex,GE
1241,Puplinge,GE
1242,Satigny,GE
1243,Presinge,GE
1244,Choulex,GE
1246,Corsier GE,GE
1247,Anières,GE
1248,Hermance,GE
1251,Gy,GE
1252,Meinier,GE
1253,Vandoeuvres,GE
1254,Jussy,GE
1256,Troinex,GE
1257,La Croix-de-Rozon,GE
1258,Perly,GE
1260,Nyon,VD
1277,Borex,VD
1278,La Rippe,VD
1279,Chavannes-de-Bogis,VD
