artid,euringid,english,deutsch,francais
50,70,Little Grebe,Zwergtaucher,Grèbe castagneux
70,120,Black-necked Grebe,Schwarzhalstaucher,Grèbe à cou noir
80,90,Great Crested Grebe,Haubentaucher,Grèbe huppé
350,720,Great Cormorant,Kormoran,Grand Cormoran
390,1220,Grey Heron,Graureiher,Héron cendré
400,1240,Purple Heron,Purpurreiher,Héron pourpré
470,980,Common Little Bittern,Zwergdommel,Blongios nain
500,1340,White Stork,Weissstorch,Cigogne blanche
720,1860,Mallard,Stockente,Canard colvert
820,1820,Gadwall,Schnatterente,Canard chipeau
850,1960,Red-crested Pochard,Kolbenente,Nette rousse
860,1980,Common Pochard,Tafelente,Fuligule milouin
870,2030,Tufted Duck,Reiherente,Fuligule morillon
950,2060,Common Eider,Eiderente,Eider à duvet
1050,2230,Goosander,Gänsesäger,Harle bièvre
1080,2310,European Honey-buzzard,Wespenbussard,Bondrée apivore
1090,2390,Red Kite,Rotmilan,Milan royal
1100,2380,Black Kite,Schwarzmilan,Milan noir
1110,2670,Northern Goshawk,Habicht,Autour des palombes
1130,2690,Eurasian Sparrowhawk,Sperber,Épervier d'Europe
1150,2870,Eurasian Buzzard,Mäusebussard,Buse variable
1200,2960,Golden Eagle,Steinadler,Aigle royal
1320,2460,Bearded Vulture,Bartgeier,Gypaète barbu
1420,3200,Peregrine Falcon,Wanderfalke,Faucon pèlerin
1430,3100,Eurasian Hobby,Baumfalke,Faucon hobereau
1480,3040,Common Kestrel,Turmfalke,Faucon crécerelle
1500,3350,Western Capercaillie,Auerhuhn,Grand Tétras
1510,3320,Black Grouse,Birkhuhn,Tétras lyre
1540,3300,Rock Ptarmigan,Alpenschneehuhn,Lagopède alpin
1550,3260,Hazel Grouse,Haselhuhn,Gélinotte des bois
1560,3570,Rock Partridge,Steinhuhn,Perdrix bartavelle
1600,3670,Grey Partridge,Rebhuhn,Perdrix grise
1610,3700,Common Quail,Wachtel,Caille des blés
1670,4070,Western Water Rail,Wasserralle,Râle d'eau
1680,4210,Corncrake,Wachtelkönig,Râle des genêts
1690,4100,Little Crake,Kleines Sumpfhuhn,Marouette poussin
1710,4080,Spotted Crake,Tüpfelsumpfhuhn,Marouette ponctuée
1730,4240,Common Moorhen,Teichhuhn,Gallinule poule-d'eau
1770,4290,Common Coot,Blässhuhn,Foulque macroule
1850,4930,Northern Lapwing,Kiebitz,Vanneau huppé
1920,4690,Little Ringed Plover,Flussregenpfeifer,Petit Gravelot
2020,5410,Eurasian Curlew,Grosser Brachvogel,Courlis cendré
2140,5560,Common Sandpiper,Flussuferläufer,Chevalier guignette
2210,5190,Common Snipe,Bekassine,Bécassine des marais
2230,5290,Eurasian Woodcock,Waldschnepfe,Bécasse des bois
2550,5900,Mew Gull,Sturmmöwe,Goéland cendré
2563,5926,Yellow-legged Gull,Mittelmeermöwe,Goéland leucophée
2620,5750,Mediterranean Gull,Schwarzkopfmöwe,Mouette mélanocéphale
2630,5820,Black-headed Gull,Lachmöwe,Mouette rieuse
2750,6150,Common Tern,Flussseeschwalbe,Sterne pierregarin
2980,6680,Stock Dove,Hohltaube,Pigeon colombin
2990,6700,Common Woodpigeon,Ringeltaube,Pigeon ramier
3000,6870,European Turtle-dove,Turteltaube,Tourterelle des bois
3020,6840,Eurasian Collared-dove,Türkentaube,Tourterelle turque
3040,7240,Common Cuckoo,Kuckuck,Coucou gris
3070,7350,Common Barn-owl,Schleiereule,Effraie des clochers
3080,7390,Eurasian Scops-owl,Zwergohreule,Petit-duc scops
3090,7440,Eurasian Eagle-owl,Uhu,Grand-duc d'Europe
3120,7510,Eurasian Pygmy-owl,Sperlingskauz,Chevêchette d'Europe
3130,7570,Little Owl,Steinkauz,Chevêche d'Athéna
3140,7610,Tawny Owl,Waldkauz,Chouette hulotte
3170,7670,Northern Long-eared Owl,Waldohreule,Hibou moyen-duc
3200,7700,Boreal Owl,Raufusskauz,Chouette de Tengmalm
3230,7780,European Nightjar,Ziegenmelker,Engoulevent d'Europe
3260,7980,Alpine Swift,Alpensegler,Martinet à ventre blanc
3270,7950,Common Swift,Mauersegler,Martinet noir
3280,7960,Pallid Swift,Fahlsegler,Martinet pâle
3320,8310,Common Kingfisher,Eisvogel,Martin-pêcheur d'Europe
3330,8400,European Bee-eater,Bienenfresser,Guêpier d'Europe
3360,8460,Common Hoopoe,Wiedehopf,Huppe fasciée
3370,8480,Eurasian Wryneck,Wendehals,Torcol fourmilier
3380,8560,Eurasian Green Woodpecker,Grünspecht,Pic vert
3390,8550,Grey-faced Woodpecker,Grauspecht,Pic cendré
3400,8630,Black Woodpecker,Schwarzspecht,Pic noir
3410,8760,Great Spotted Woodpecker,Buntspecht,Pic épeiche
3430,8830,Middle Spotted Woodpecker,Mittelspecht,Pic mar
3440,8840,White-backed Woodpecker*,Weissrückenspecht*,Pic à dos blanc*
3450,8870,Lesser Spotted Woodpecker,Kleinspecht,Pic épeichette
3460,8980,Three-toed Woodpecker,Dreizehenspecht,Pic tridactyle
3560,9740,Woodlark,Heidelerche,Alouette lulu
3570,9760,Eurasian Skylark,Feldlerche,Alouette des champs
3610,9920,Barn Swallow,Rauchschwalbe,Hirondelle rustique
3630,9910,Eurasian Crag Martin,Felsenschwalbe,Hirondelle de rochers
3640,10010,Northern House Martin,Mehlschwalbe,Hirondelle de fenêtre
3650,9810,Collared Sand Martin,Uferschwalbe,Hirondelle de rivage
3660,15080,Eurasian Golden Oriole,Pirol,Loriot d'Europe
3670,15720,Common Raven,Kolkrabe,Grand Corbeau
3681,15671,Carrion Crow,Rabenkrähe,Corneille noire
3700,15630,Rook,Saatkrähe,Corbeau freux
3710,15600,Eurasian Jackdaw,Dohle,Choucas des tours
3720,15490,Eurasian Magpie,Elster,Pie bavarde
3740,15570,Northern Nutcracker,Tannenhäher,Cassenoix moucheté
3750,15390,Eurasian Jay,Eichelhäher,Geai des chênes
3770,15590,Red-billed Chough,Alpenkrähe,Crave à bec rouge
3780,15580,Yellow-billed Chough,Alpendohle,Chocard à bec jaune
3790,14640,Great Tit,Kohlmeise,Mésange charbonnière
3800,14620,Eurasian Blue Tit,Blaumeise,Mésange bleue
3820,14610,Coal Tit,Tannenmeise,Mésange noire
3830,14540,Crested Tit,Haubenmeise,Mésange huppée
3860,14400,Marsh Tit,Sumpfmeise,Mésange nonnette
3870,14420,Alpine or Willow Tit,Mönchsmeise (Alpen- oder Weidenmeise),Mésange boréale (alpestre ou des saules)
3880,14370,Long-tailed Tit,Schwanzmeise,Mésange à longue queue
3900,13640,Bearded Reedling,Bartmeise,Panure à moustaches
3910,14790,Eurasian Nuthatch,Kleiber,Sittelle torchepot
3940,14860,Eurasian Treecreeper,Waldbaumläufer,Grimpereau des bois
3950,14870,Short-toed Treecreeper,Gartenbaumläufer,Grimpereau des jardins
3960,14820,Wallcreeper,Mauerläufer,Tichodrome échelette
3970,10500,White-throated Dipper,Wasseramsel,Cincle plongeur
